,msa,state,fips,FIPS,CBSA,sex,q7_family_members,NO family,Family Available,usborn1a,q17,q38,party,ideo,qe3,age,educ,hisp,race,relig,income,phoneuse,recage,receduc,racethn,weight
1115,0,New York,36109,36109,27060,Female,1 up to 5,0,1,"Yes, born in U.S.",Utah,California,Independent,Conservative,Not employed,20,"Some college, no 4-year degree (including associate degree)",No,White,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Don't know/Refused,"Dual/few, some cell",18-24,SOME COLL,White~H,2.056603774
1116,0,New York,36017,36017,#N/A,Male,1 up to 5,0,1,"Yes, born in U.S.",New York,Virginia,Independent,Conservative,Full-time,61,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000",LLO,55-64,HS GRAD,White~H,3.785714286
1117,31540,Wisconsin,55025,55025,31540,Female,None,1,0,"Yes, born in U.S.",Missouri,California,Democrat,Moderate,Not employed,28,"Some college, no 4-year degree (including associate degree)",No,White,"Orthodox (Greek, Russian, or some other orthodox church)","$30,000 to under $40,000",Dual/most cell,25-34,SOME COLL,White~H,1.547169811
1118,31540,Wisconsin,55025,55025,31540,Male,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Massachusetts,Democrat,Very liberal,Part-time,20,"Some college, no 4-year degree (including associate degree)",No,White,Unitarian (Universalist) (VOL.),"$75,000 to under $100,000",CPO,18-24,SOME COLL,White~H,2.41509434
1119,0,Wisconsin,55081,55081,#N/A,Female,More than 20,0,1,"Yes, born in U.S.",Wisconsin,South Dakota,Independent,Very conservative,Part-time,66,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",65+,SOME COLL,White~H,1
1120,31540,Wisconsin,55025,55025,31540,Male,1 up to 5,0,1,"Yes, born in U.S.",Illinois,Wisconsin,Independent,Moderate,Full-time,64,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Nothing in particular,"$75,000 to under $100,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.375
1121,31540,Wisconsin,55127,55127,48580,Male,1 up to 5,0,1,"Yes, born in U.S.",Oklahoma,California,Don't know/Refused,Don't know/Refused,Full-time,38,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Nothing in particular,Don't know/Refused,Dual/most cell,35-44,COLLEGE+,White~H,1.261904762
1122,0,Wisconsin,55111,55111,12660,Male,6 up to 10,0,1,"Yes, born in U.S.",Texas,Oregon,Democrat,Moderate,Full-time,53,High school graduate (Grade 12 or GED certificate),No,White,Agnostic (not sure if there is a God),"$40,000 to under $50,000","Dual/few, some cell",45-54,HS GRAD,White~H,3.037735849
1123,0,Wisconsin,55123,55123,#N/A,Male,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Wisconsin,Democrat,Moderate,Part-time,28,"Technical, trade, or vocational school AFTER high school",No,White,Nothing in particular,"$10,000 to under $20,000","Dual/few, some cell",25-34,HS GRAD,White~H,4.283018868
1124,0,Wisconsin,55043,55043,38420,Male,1 up to 5,0,1,"Yes, born in U.S.",Iowa,Tennessee,Democrat,Conservative,Not employed,73,High school incomplete (Grades 9-11),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",65+,LT HS,White~H,3.541666667
1125,31540,Wisconsin,55021,55021,31540,Female,6 up to 10,0,1,"Yes, born in U.S.",Illinois,Wisconsin,Democrat,Liberal,Not employed,77,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",65+,COLLEGE+,White~H,1
1126,27500,Wisconsin,55105,55105,27500,Female,1 up to 5,0,1,"Yes, born in U.S.",Illinois,Wisconsin,Democrat,Moderate,Full-time,54,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",45-54,COLLEGE+,White~H,1.583333333
1127,31540,Wisconsin,55025,55025,31540,Male,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Tennessee,No preference (VOL.),Moderate,Full-time,58,"Technical, trade, or vocational school AFTER high school",No,White,Roman Catholic (Catholic),"$100,000 to under $150,000",Dual/most cell,55-64,HS GRAD,White~H,1.645833333
1128,27500,Wisconsin,55105,55105,27500,Female,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Hawaii,No preference (VOL.),Don't know/Refused,Not employed,51,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",45-54,HS GRAD,White~H,3.5625
1129,31540,Wisconsin,55049,55049,31540,Male,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Wisconsin,Democrat,Moderate,Full-time,66,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",65+,COLLEGE+,White~H,1
1130,0,Wisconsin,55111,55111,12660,Female,More than 20,0,1,"Yes, born in U.S.",Wisconsin,Wisconsin,Republican,Conservative,Full-time,39,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",35-44,HS GRAD,White~H,3.5
1131,36140,New Jersey,34009,34009,36140,Male,6 up to 10,0,1,"No, some other country",,Florida,Republican,Conservative,Full-time,55,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",55-64,COLLEGE+,White~H,1.132075472
1132,37980,New Jersey,34005,34005,37980,Male,More than 20,0,1,"Yes, born in U.S.",New Jersey,New York,Independent,Moderate,Not employed,48,"College graduate (B.S., B.A., or other 4-year degree)",No,Don't know/Refused,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more","Dual/few, some cell",45-54,COLLEGE+,,2.380952381
1133,35620,New Jersey,34029,34029,35620,Male,1 up to 5,0,1,"Yes, born in U.S.",Massachusetts,Arizona,Independent,Moderate,Not employed,60,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",55-64,SOME COLL,White~H,2.5
1134,37980,New Jersey,34015,34015,37980,Male,11 up to 20,0,1,"Yes, born in U.S.",Pennsylvania,Arizona,Independent,Moderate,Full-time,51,High school graduate (Grade 12 or GED certificate),No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",45-54,HS GRAD,White~H,3.404761905
1135,37980,New Jersey,34005,34005,37980,Female,More than 20,0,1,"Yes, born in U.S.",New Jersey,Florida,Independent,Moderate,Part-time,47,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$100,000 to under $150,000",Dual/most cell,45-54,COLLEGE+,White~H,1.604166667
1136,37980,New Jersey,34005,34005,37980,Male,11 up to 20,0,1,"Yes, born in U.S.",New Jersey,New Jersey,Democrat,Liberal,Not employed,62,High school graduate (Grade 12 or GED certificate),No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000",LLO,55-64,HS GRAD,Black~H,4.285714286
1137,45940,New Jersey,34035,34035,35620,Male,1 up to 5,0,1,"No, some other country",,Don't know/Refused,Democrat,Conservative,Not employed,22,High school graduate (Grade 12 or GED certificate),Yes,White,Nothing in particular,"$10,000 to under $20,000",LLO,18-24,HS GRAD,Hispanic,2.261904762
1138,45940,New Jersey,34021,34021,45940,Male,1 up to 5,0,1,"Yes, born in U.S.",Georgia,California,Independent,Very liberal,Not employed,43,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Unitarian (Universalist) (VOL.),"$150,000 or more","Dual/few, some cell",35-44,COLLEGE+,White~H,3
1139,37980,New Jersey,34007,34007,37980,Female,11 up to 20,0,1,"Yes, born in U.S.",New Jersey,New Jersey,Republican,Moderate,Not employed,81,"College graduate (B.S., B.A., or other 4-year degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","Less than $10,000",CPO,65+,COLLEGE+,Black~H,2.083333333
1140,36140,New Jersey,34009,34009,36140,Male,6 up to 10,0,1,"Yes, born in U.S.",Pennsylvania,New Jersey,Independent,Moderate,Full-time,36,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",35-44,COLLEGE+,White~H,1.943396226
1141,45940,New Jersey,34023,34023,35620,Female,None,1,0,"Yes, born in U.S.",New Jersey,New Jersey,Republican,Moderate,Full-time,44,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",35-44,COLLEGE+,White~H,4.904761905
1142,39740,Pennsylvania,42011,42011,39740,Female,More than 20,0,1,"Yes, born in U.S.",New Jersey,Vermont,Independent,Very liberal,Full-time,40,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000","Dual/few, some cell",35-44,COLLEGE+,White~H,4.547619048
1143,37980,Pennsylvania,42029,42029,37980,Male,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Don't know/Refused,Moderate,Part-time,63,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,LLO,55-64,SOME COLL,White~H,1.452830189
1144,37980,Pennsylvania,42029,42029,37980,Female,1 up to 5,0,1,"Yes, born in U.S.",Massachusetts,Pennsylvania,Independent,Liberal,Full-time,59,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.69047619
1145,37980,Pennsylvania,42029,42029,37980,Male,None,1,0,"Yes, born in U.S.",Illinois,Pennsylvania,Independent,Conservative,Part-time,53,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",45-54,COLLEGE+,White~H,1.396226415
1146,37980,Pennsylvania,42029,42029,37980,Female,11 up to 20,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Democrat,Liberal,Part-time,53,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000",LLO,45-54,COLLEGE+,White~H,2.880952381
1147,37980,Pennsylvania,42045,42045,37980,Male,More than 20,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Republican,Conservative,Not employed,76,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),Don't know/Refused,"Dual/few, some cell",65+,SOME COLL,White~H,3
1148,39740,Pennsylvania,42091,42091,37980,Male,6 up to 10,0,1,"Yes, born in U.S.",Pennsylvania,California,Independent,Very liberal,Not employed,51,High school graduate (Grade 12 or GED certificate),No,White,Nothing in particular,"$10,000 to under $20,000",LLO,45-54,HS GRAD,White~H,2.886792453
1149,39740,Pennsylvania,42011,42011,39740,Female,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Democrat,Liberal,Full-time,29,High school graduate (Grade 12 or GED certificate),Yes,Other or mixed race (SPECIFY),Christian (VOL.),"$20,000 to under $30,000",LLO,25-34,HS GRAD,Hispanic,3.018867925
1150,10900,Pennsylvania,42077,42077,10900,Female,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Independent,Moderate,Full-time,55,"Some college, no 4-year degree (including associate degree)",No,White,Nothing in particular,"$40,000 to under $50,000",LLO,55-64,SOME COLL,White~H,1.404761905
1151,37980,Pennsylvania,42029,42029,37980,Male,6 up to 10,0,1,"Yes, born in U.S.",New York,Pennsylvania,Independent,Moderate,Not employed,61,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$100,000 to under $150,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.132075472
1152,37980,Pennsylvania,42045,42045,37980,Female,More than 20,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Independent,Very conservative,Not employed,33,High school incomplete (Grades 9-11),No,White,Roman Catholic (Catholic),"$50,000 to under $75,000","Dual/few, some cell",25-34,LT HS,White~H,5.5
1153,37980,Pennsylvania,42045,42045,37980,Female,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Hawaii,Democrat,Moderate,Not employed,61,High school graduate (Grade 12 or GED certificate),No,White,Roman Catholic (Catholic),"$40,000 to under $50,000","Dual/few, some cell",55-64,HS GRAD,White~H,4.976190476
1154,39740,Pennsylvania,42011,42011,39740,Male,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Independent,Moderate,Full-time,51,High school graduate (Grade 12 or GED certificate),No,White,Nothing in particular,"$50,000 to under $75,000","Dual/few, some cell",45-54,HS GRAD,White~H,3.404761905
1155,39740,Pennsylvania,42011,42011,39740,Male,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Virginia,Republican,Conservative,Full-time,45,High school graduate (Grade 12 or GED certificate),No,White,Roman Catholic (Catholic),"$100,000 to under $150,000","Dual/few, some cell",45-54,HS GRAD,White~H,3
1156,37980,Pennsylvania,42029,42029,37980,Female,None,1,0,"Yes, born in U.S.",New York,Pennsylvania,Republican,Moderate,Not employed,41,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more","Dual/few, some cell",35-44,COLLEGE+,White~H,2.245283019
1157,10900,Pennsylvania,42077,42077,10900,Male,None,1,0,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Democrat,Moderate,Full-time,61,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.80952381
1158,39740,Pennsylvania,42011,42011,39740,Male,1 up to 5,0,1,"Yes, born in U.S.",New Jersey,Delaware,Republican,Conservative,Full-time,60,High school graduate (Grade 12 or GED certificate),No,White,Nothing in particular,"$40,000 to under $50,000","Dual/few, some cell",55-64,HS GRAD,White~H,2.641509434
1159,39740,Pennsylvania,42011,42011,39740,Male,1 up to 5,0,1,"Yes, born in U.S.",Pennsylvania,Missouri,Republican,Moderate,Part-time,68,"None, or grade 1-8",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",65+,LT HS,White~H,3.528301887
1160,37980,Pennsylvania,42029,42029,37980,Male,11 up to 20,0,1,"Yes, born in U.S.",Pennsylvania,Pennsylvania,Republican,Moderate,Part-time,67,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",65+,HS GRAD,White~H,2.339622642
1161,33460,Minnesota,27053,27053,33460,Male,6 up to 10,0,1,"Yes, born in U.S.",Nebraska,Minnesota,Independent,Very conservative,Full-time,49,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000",Dual/most cell,45-54,COLLEGE+,White~H,1.666666667
1162,33460,Minnesota,27053,27053,33460,Female,None,1,0,"Yes, born in U.S.",Minnesota,Alabama,Independent,Liberal,Not employed,70,"Technical, trade, or vocational school AFTER high school",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$10,000 to under $20,000",LLO,65+,HS GRAD,White~H,3.380952381
1163,33460,Minnesota,27003,27003,33460,Female,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Colorado,Democrat,Moderate,Full-time,66,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$40,000 to under $50,000","Dual/few, some cell",65+,SOME COLL,White~H,1.113207547
1164,33460,Minnesota,27037,27037,33460,Female,1 up to 5,0,1,"No, some other country",,Don't know/Refused,No preference (VOL.),Don't know/Refused,Part-time,33,"None, or grade 1-8",Yes,Don't know/Refused,Roman Catholic (Catholic),Don't know/Refused,CPO,25-34,LT HS,Hispanic,3.641509434
1165,33460,Minnesota,27053,27053,33460,Female,6 up to 10,0,1,"Yes, born in U.S.",Minnesota,California,Democrat,Liberal,Part-time,19,"Some college, no 4-year degree (including associate degree)",No,Black,Christian (VOL.),"$40,000 to under $50,000",Dual/most cell,18-24,SOME COLL,Black~H,2.104166667
1166,33460,Minnesota,27053,27053,33460,Female,None,1,0,"Yes, born in U.S.",District of Columbia,New York,Democrat,Liberal,Not employed,22,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$150,000 or more",CPO,18-24,SOME COLL,White~H,4.916666667
1167,33460,Minnesota,27003,27003,33460,Female,6 up to 10,0,1,"Yes, born in U.S.",Minnesota,Minnesota,Democrat,Conservative,Full-time,51,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$50,000 to under $75,000",Dual/most cell,45-54,SOME COLL,White~H,1.150943396
1168,33460,Minnesota,27053,27053,33460,Female,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Minnesota,Independent,Conservative,Not employed,71,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$40,000 to under $50,000","Dual/few, some cell",65+,HS GRAD,White~H,4.104166667
1169,33460,Minnesota,27053,27053,33460,Female,11 up to 20,0,1,"Yes, born in U.S.",Minnesota,Arizona,Independent,Moderate,Part-time,32,High school graduate (Grade 12 or GED certificate),Yes,Other or mixed race (SPECIFY),Christian (VOL.),"$40,000 to under $50,000","Dual/few, some cell",25-34,HS GRAD,Hispanic,5.5
1170,18140,Ohio,39049,39049,18140,Male,None,1,0,"Yes, born in U.S.",Illinois,Oregon,Democrat,Liberal,Full-time,38,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000","Dual/few, some cell",35-44,COLLEGE+,White~H,2.943396226
1171,18140,Ohio,39049,39049,18140,Female,6 up to 10,0,1,"Yes, born in U.S.",Ohio,South Carolina,Republican,Conservative,Not employed,61,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",55-64,SOME COLL,White~H,1.428571429
1172,18140,Ohio,39049,39049,18140,Male,More than 20,0,1,"Yes, born in U.S.",Ohio,Ohio,Independent,Moderate,Full-time,47,High school graduate (Grade 12 or GED certificate),No,White,Nothing in particular,"$50,000 to under $75,000","Dual/few, some cell",45-54,HS GRAD,White~H,4.547169811
1173,18140,Ohio,39049,39049,18140,Male,1 up to 5,0,1,"No, some other country",,Florida,Democrat,Moderate,Full-time,50,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Atheist (do not believe in God),"$40,000 to under $50,000",Dual/most cell,45-54,COLLEGE+,White~H,1.666666667
1174,18140,Ohio,39049,39049,18140,Female,1 up to 5,0,1,"Yes, born in U.S.",Ohio,Don't know/Refused,Democrat,Liberal,Full-time,59,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.5
1175,18140,Ohio,39049,39049,18140,Female,1 up to 5,0,1,"Yes, born in U.S.",Ohio,Ohio,Democrat,Liberal,Full-time,55,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Orthodox (Greek, Russian, or some other orthodox church)","$50,000 to under $75,000",Dual/most cell,55-64,COLLEGE+,White~H,1
1176,18140,Ohio,39049,39049,18140,Female,6 up to 10,0,1,"Yes, born in U.S.",Ohio,Arizona,Republican,Moderate,Part-time,68,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",65+,SOME COLL,White~H,1.261904762
1177,18140,Ohio,39049,39049,18140,Female,11 up to 20,0,1,"Yes, born in U.S.",Ohio,Georgia,Democrat,Conservative,Part-time,38,High school graduate (Grade 12 or GED certificate),No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$10,000 to under $20,000",Dual/most cell,35-44,HS GRAD,Black~H,4.80952381
1178,18140,Ohio,39049,39049,18140,Male,6 up to 10,0,1,"Yes, born in U.S.",Ohio,Ohio,Republican,Conservative,Not employed,67,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",65+,SOME COLL,White~H,1.928571429
1179,18140,Ohio,39049,39049,18140,Male,11 up to 20,0,1,"Yes, born in U.S.",Ohio,Arizona,No preference (VOL.),Conservative,Part-time,Don't know/Refused,Don't know/Refused,No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000",Dual/most cell,,,White~H,1.452380952
1180,18140,Ohio,39129,39129,18140,Female,11 up to 20,0,1,"Yes, born in U.S.",Ohio,Arizona,Republican,Moderate,Not employed,35,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",35-44,COLLEGE+,White~H,2.037735849
1181,34980,Tennessee,47037,47037,34980,Male,1 up to 5,0,1,"No, some other country",,Florida,Independent,Liberal,Full-time,31,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,Asian,Hindu,"$50,000 to under $75,000",Dual/most cell,25-34,COLLEGE+,Other,2.270833333
1182,34980,Tennessee,47037,47037,34980,Female,11 up to 20,0,1,"Yes, born in U.S.",Tennessee,Tennessee,Democrat,Liberal,Not employed,68,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",65+,SOME COLL,White~H,1.19047619
1183,34980,Tennessee,47037,47037,34980,Male,None,1,0,"No, some other country",,Florida,Independent,Liberal,Full-time,38,"None, or grade 1-8",Yes,White,Nothing in particular,"$10,000 to under $20,000",CPO,35-44,LT HS,Hispanic,5.5
1184,34980,Tennessee,47037,47037,34980,Male,None,1,0,"Yes, born in U.S.",South Carolina,California,Democrat,Moderate,Full-time,43,"College graduate (B.S., B.A., or other 4-year degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000",CPO,35-44,COLLEGE+,Black~H,3.714285714
1185,34980,Tennessee,47043,47043,34980,Female,11 up to 20,0,1,"Yes, born in U.S.",Tennessee,Tennessee,Independent,Moderate,Full-time,67,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more","Dual/few, some cell",65+,SOME COLL,White~H,1.396226415
1186,34980,Tennessee,47187,47187,34980,Male,1 up to 5,0,1,"Yes, born in U.S.",Tennessee,Tennessee,Independent,Moderate,Not employed,74,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000",LLO,65+,COLLEGE+,White~H,1
1187,34980,Tennessee,47037,47037,34980,Female,6 up to 10,0,1,"Yes, born in U.S.",Tennessee,Connecticut,Democrat,Conservative,Full-time,60,"College graduate (B.S., B.A., or other 4-year degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",55-64,COLLEGE+,Black~H,1.5
1188,34980,Tennessee,47149,47149,34980,Female,None,1,0,"Yes, born in U.S.",Mississippi,Tennessee,Republican,Very conservative,Part-time,37,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",35-44,COLLEGE+,White~H,1.833333333
1189,34980,Tennessee,47037,47037,34980,Female,None,1,0,"Yes, born in U.S.",Tennessee,Tennessee,Independent,Moderate,Full-time,62,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",55-64,COLLEGE+,White~H,1.428571429
1190,34980,Tennessee,47037,47037,34980,Male,1 up to 5,0,1,"Yes, born in U.S.",Tennessee,South Carolina,Independent,Conservative,Full-time,23,High school graduate (Grade 12 or GED certificate),No,White,Don't know/Refused,"$20,000 to under $30,000",Dual/most cell,18-24,HS GRAD,White~H,2.380952381
1191,34980,Tennessee,47037,47037,34980,Male,11 up to 20,0,1,"Yes, born in U.S.",Tennessee,Tennessee,Independent,Don't know/Refused,Not employed,30,High school incomplete (Grades 9-11),No,White,Atheist (do not believe in God),"$20,000 to under $30,000",LLO,25-34,LT HS,White~H,4.679245283
